,Movie_Title,Genre,Director,Number_of_Screens,Verdict,RevenueUSD,BudgetUSD,Music.Director
539,Singh Saab The Great,action,Anil Sharma,2000,Flop,5.04,3.94785,Sonu Nigam
540,Big Brother,action,Guddu Dhanoa,290,Disaster,0.96,0.8508,Sandesh Shandilya
541,Teesri Aankh - The Hidden Camera,thriller,Harry Baweja,400,Disaster,1.5,0.79236,Sukhshinder Shinda
542,Jo Bole So Nihaal,comedy,Rahul Rawail,400,Disaster,1.8,1.77795,Anand Raj Anand
543,Yamla Pagla Deewana,comedy,Samir Karnik,1550,Hit,3.48,10.647,Anu Malik
544,Yamla Pagla Deewana 2,comedy,Sangeeth Sivan,2000,Flop,5.52,5.802,Toshi - Sharib
545,Poster Boys,comedy,Shreyas Talpade,1300,Flop,3.24,2.050575,Tanishk
546,Ghayal Once Again,action,Sunny Deol,2300,Flop,6,5.442765,Shankar - Ehsaan - Loy
547,Ragini MMS 2,horror,Bhushan Patel,2300,Hit,2.28,7.59534,Chirantan Bhatt
548,Ek Paheli Leela,love_story,Bobby Khan,2000,Flop,2.76,3.06744,Uzair Jaswal
549,Jism 2,thriller,Pooja Bhatt,1700,Semi Hit,1.56,5.9109,Munish Makhija
550,Kai Po Che,drama,Abhishek Kapoor,900,Semi Hit,3.6,8.65944,Amit Trivedi
551,Detective Byomkesh Bakshy,thriller,Dibakar Banerjee,1200,Flop,4.2,5.27424,Mode AKA
552,Raabta,love_story,Dinesh Vijan,1800,Disaster,5.64,4.043835,Pritam
553,Shuddh Desi Romance,rom__com,Maneesh Sharma,1050,Hit,3,9.01416,Sachin - Jigar
554,M.S. Dhoni - The Untold Story,drama,Neeraj Pandey,3900,Hit,13.2,22.77927,Amal Malik
555,Zindaggi Rocks,drama,Tanuja Chandra,200,Disaster,0.84,0.35025,Anu Malik
556,Naam Shabana,thriller,Shivam Nair,2000,Below Average,3.96,6.7188,Rochak Kohli
557,A Flying Jatt,masala,Remo D'Souza,2650,Flop,6.6,5.920425,Sachin - Jigar
558,Heropanti,action,Sabbir Khan,2200,Hit,3,8.7129,Mustafa Zahid
559,Baaghi,action,Sabbir Khan,2750,Hit,4.44,15.23595,Ankit Tiwari
560,Munna Micheal,action,Sabbir Khan,2900,Flop,4.92,6.1836,Tanishk
561,Kya Love Story Hai,rom__com,Lovely Singh,425,Disaster,0.87,0.585,Pritam
562,Mastizaade,comedy,Milap Zaveri,1850,Flop,3.6,3.07152,Meet Bros
563,Dhol,comedy,Priyadarshan,650,Average,1.68,2.7933,Pritam
564,Love U...Mr. Kalakaar!,love_story,S. Manasvi,325,Disaster,1.44,0.294,Sandesh Shandilya
565,Kyaa Super Kool Hain Hum,comedy,Sachin Yardi,1400,Hit,2.28,7.2927,Sachin - Jigar
566,Kyaa Kool Hai Hum,comedy,Sangeeth Sivan,250,Hit,0.6,2.742,Anu Malik
567,Kyaa Kool Hain Hum 3,comedy,Umesh Ghadge,2050,Flop,3.12,3.9771,Sajid - Wajid
568,Neal N Nikki,rom__com,Arjun Sablok,200,Flop,0.84,1.2954,Salim - Sulaiman
569,Main Tera Hero,comedy,David Dhawan,2400,Semi Hit,4.92,9.41427,Sajid - Wajid
570,Judwaa 2,masala,David Dhawan,3500,Super Hit,7.56,24.79773,Sajid - Wajid
571,Student Of The Year,rom__com,Karan Johar,1350,Semi Hit,7.08,11.60028,Vishal - Shekhar
572,ABCD 2,drama,Remo D'Souza,2500,Super Hit,7.8,18.99834,Sachin - Jigar
573,Humpty Sharma Ki Dulhania,rom__com,Shashank Khaitan,1950,Hit,3.96,13.2912,Sachin - Jigar
574,Badrinath Ki Dulhania,love_story,Shashank Khaitan,2800,Super Hit,5.28,23.37783,Akhil Sachdeva
575,Badlapur,thriller,Sriram Raghavan,1700,Hit,3.48,9.46824,Sachin - Jigar
576,The Dirty Picture,drama,Milan Luthria,1600,Super Hit,3.72,14.03997,Vishal - Shekhar
577,No One Killed Jessica,thriller,Raj Kumar Gupta,950,Semi Hit,2.28,5.48682,Amit Trivedi
578,Bobby Jasoos,comedy,Samar Shaikh,1250,Flop,3.12,2.42949,Shantanu Moitra
579,Begum Jaan,drama,Srijit Mukherji,1250,Flop,2.28,3.67428,Anu Malik
580,Kahaani,thriller,Sujoy Ghosh,1100,Hit,2.4,11.0052,Vishal - Shekhar
581,Kahaani 2,thriller,Sujoy Ghosh,1250,Flop,3.96,6.7128, Clinton Cerejo
582,Tumhari Sulu,drama,Suresh Triveni,1200,Average,2.4,6.1668,Santanu Ghatak
583,Commando 2,action,Deven Bhojani,2200,Flop,3.12,3.6036,Gourav - Roshin
584,Chalo Dilli,comedy,Shashant Shah,725,Below Average,1.14,1.74159, Rohit Kulkarni
585,Broken Horses,thriller,Vidhu Vinod Chopra,175,Disaster,7.2,0.12156,John Debney
586,Shootout At Lokhandwala,action,Apoorva Lakhia,800,Semi Hit,2.16,5.52516,Strings
587,Mission Istaanbul,thriller,Apoorva Lakhia,700,Disaster,2.52,1.1211,Anu Malik
588,Pyare Mohan,comedy,Indra Kumar,400,Flop,1.56,2.2332,Anu Malik
589,Prince,thriller,Kookie V. Gulati,1200,Flop,4.44,3.4731,Sachin Gupta
590,Naksha,action,Sachin Bajaj,425,Disaster,2.64,1.191,Pritam
591,Kisna,love_story,Subhash Ghai,400,Disaster,2.76,1.9554,Ismail Darbar
592,Secret Superstar,drama,Advait Chandan,1750,Average,5.4,14.7042,Amit Trivedi
593,Hate Story 3,thriller,Vishal Pandya,2600,Hit,2.4,7.4655,Baman
594,Fight Club,action,Vikram Chopra,375,Flop,0.99,1.06635,Pritam
