,Movie_Title,Genre,Director,Number_of_Screens,Verdict,RevenueUSD,BudgetUSD,Music.Director
337,Peepli [Live],drama,Anusha Rizvi,825,Hit,1.68,5.6223,Ram Sampath
338,Dharam Sankat Mein,comedy,Fuwad Khan,1100,Flop,1.68,1.450992,Sachin Gupta
339,Yun Hota Toh Kya Hota,drama,Naseeruddin Shah,75,Disaster,0.75,0.21,Viju Shah
340,Buddha Mar Gaya,comedy,Rahul Rawail,285,Flop,0.45,0.54,Bappi Lahiri
341,Sikandar,thriller,Piyush Jha,250,Disaster,0.6,0.09888,Sandesh Shandilya
342,Bahubali - The Beginning,masala,S.S. Rajamouli,1600,Blockbuster,20.4,20.1882,M.M. Kreem
343,Bahubali 2 - The Conclusion,masala,S.S. Rajamouli,3950,All Time Blockbuster,23.4,96.19344,M.M. Kreem
344,Tutak Tutak Tutiya,comedy,A.L. Vijay,875,Flop,1.32,0.83286,Sajid - Wajid
345,ABCD - Any Body Can Dance,drama,Remo D'Souza,1000,Semi Hit,3.24,6.93576,Sachin - Jigar
346,Ekk Deewana Tha,love_story,Gautham Menon,600,Flop,1.68,1.02669,A.R. Rehman
347,What's Your Raashee,rom__com,Ashutosh Gowariker,725,Disaster,3.84,2.095425,Sohail Sen
348,Pyaar Impossible!,rom__com,Jugal Hansraj,425,Flop,1.68,1.07454,Salim - Sulaiman
349,Fashion,drama,Madhur Bhandarkar,750,Average,2.4,4.71534,Salim - Sulaiman
350,Mary Kom,drama,Omung Kumar,1900,Hit,4.56,10.34301,Shashi Suman
351,Jai Gangaajal,drama,Prakash Jha,2500,Flop,3.96,5.9511,Salim - Sulaiman
352,7 Khoon Maaf,thriller,Vishal Bhardwaj,975,Flop,3,3.6084,Vishal Bhardwaj
353,Sanam Re,love_story,Divya Khosla,2000,Flop,3.24,3.7746,Amal Malik
354,Fukrey,comedy,Mrighdeep Singh Lamba,1000,Semi Hit,2.28,5.8821,Ram Sampath
355,Fukrey Returns,comedy,Mrighdeep Singh Lamba,1500,Super Hit,3.48,13.47366,Shree - Isshq
356,Tanu Weds Manu,love_story,Anand L. Rai,850,Hit,2.52,6.76962,Krsna
357,Tanu Weds Manu Returns,rom__com,Anand L. Rai,2150,Blockbuster,4.68,29.23722,Surj RDB
358,Jodi Breakers,comedy,Ashwini Chaudhary,1000,Flop,2.52,1.75761,Salim - Sulaiman
359,Sachin - A Billion Dreams,documentary,James Erskine,1950,Average,4.68,7.79418,A.R. Rehman
360,13B,horror,Vikram K. Kumar,550,Flop,1.44,1.21152,Tubby Parik
361,Parched,drama,Leena Yadav,275,Disaster,2.88,1.4436,Hitesh Sonik
362,Pyaar Ke Side Effects,comedy,Saket Chaudhary,225,Below Average,0.78,1.46268,Pritam
363,Raqeeb,thriller,Anurag Singh,190,Disaster,0.75,0.21387,Pritam
364,Table No. 21,thriller,Aditya Datt,850,Below Average,1.02,2.1354,Gajendra Verma
365,Ata Pata Laapata,comedy,Rajpal Yadav,125,Disaster,1.32,0.05061,Sukhwinder Singh
366,Zanjeer,action,Apoorva Lakhia,2050,Disaster,7.2,2.6577,Anand Raj Anand
367,Besharam,comedy,Abhinav Kashyap,3400,Flop,9.96,11.41434,Lalit Pandit
368,Barfi!,drama,Anurag Basu,1250,Super Hit,6,20.96856,Pritam
369,Jagga Jasoos,drama,Anurag Basu,1750,Disaster,15.72,10.42287,Pritam
370,Bombay Velvet,drama,Anurag Kashyap,2550,Disaster,14.16,5.17638,Amit Trivedi
371,Wake Up Sid,drama,Ayan Mukherji,500,Semi Hit,2.16,5.6529,Amit Trivedi
372,Yeh Jawaani Hai Deewani,love_story,Ayan Mukherji,2900,Blockbuster,9,35.47356,Pritam
373,Rockstar,drama,Imtiaz Ali,1950,Semi Hit,7.92,13.04421,A.R. Rehman
374,Tamasha,drama,Imtiaz Ali,2050,Flop,10.44,16.39665,A.R. Rehman
375,Ae Dil Hai Mushkil,love_story,Karan Johar,2850,Hit,11.76,27.54747, Pritam
376,Chillar Party,drama,Nitish Tiwari,325,Flop,0.69,0.668805,Amit Trivedi
377,Raajneeti,thriller,Prakash Jha,1750,Super Hit,7.32,17.46048,Pritam
378,Ajab Prem Ki Ghazab Kahani,comedy,Rajkumar Santoshi,1300,Super Hit,5.28,11.9685,Pritam
379,Saawariya,love_story,Sanjay Leela Bhansali,850,Disaster,5.4,4.69596,Sanjay Leela Bhansali
380,Rocket Singh: Salesman Of The Year,drama,Shimit Amin,800,Below Average,1.92,4.03893,Salim - Sulaiman
381,Bachna Ae Haseeno,rom__com,Siddharth Anand,800,Semi Hit,2.76,7.3887,Vishal - Shekhar
382,Anjaana Anjaani,rom__com,Siddharth Anand,1250,Average,4.8,8.2185,Vishal - Shekhar
383,Roy,thriller,Vikramjit Singh,2350,Flop,6,6.72258,Ankit Tiwari
384,Highway,drama,Imtiaz Ali,750,Below Average,3,5.72478,A.R. Rehman
385,Murder 3,thriller,Vishesh Bhatt,1400,Flop,1.8,3.3303,Pritam
386,D,action,Vishram Sawant,250,Flop,0.78,1.019532,Nitin Raikwar
387,Laaga Chunari Mein Daag,drama,Pradeep Sarkar,750,Flop,2.4,4.40067,Shantanu Moitra
388,Mardaani,thriller,Pradeep Sarkar,1250,Semi Hit,2.52,6.80628,Salim - Sulaiman
389,Aiyyaa,comedy,Sachin Kundalkar,900,Disaster,2.28,1.1502,Amit Trivedi
390,Befikre,rom__com,Aditya Chopra,2150,Below Average,7.68,12.4785,Vishal - Shekhar
391,Gunday,masala,Ali Abbas Zafar,2700,Semi Hit,6.12,14.37864,Sohail Sen
392,Band Baaja Baaraat,rom__com,Maneesh Sharma,675,Average,1.8,3.996,Salim - Sulaiman
393,Ladies vs Ricky Bahl,drama,Maneesh Sharma,1150,Average,2.4,5.93976,Salim - Sulaiman
394,Goliyon Ki Raasleela Ram - Leela,love_story,Sanjay Leela Bhansali,3000,Hit,10.56,24.17766,Sanjay Leela Bhansali
395,Bajirao Mastani,drama,Sanjay Leela Bhansali,2700,Hit,17.4,42.7443,Sanjay Leela Bhansali
396,Kill Dil,thriller,Shaad Ali,2300,Flop,4.8,6.252,Shankar - Ehsaan - Loy
397,Lootera,love_story,Vikramaditya Motwane,1050,Flop,3.84,5.56878,Amit Trivedi
398,Dil Dhadakne Do,drama,Zoya Akhtar,2300,Below Average,9.96,17.37585,Shankar - Ehsaan - Loy
399,Super Nani,drama,Indra Kumar,825,Disaster,2.16,0.5292,Harshit Saxena
400,Patel Ki Punjabi Shaadi,comedy,Sanjay Chhel,725,Disaster,1.32,0.304275,Lalit Pandit
401,De Taali,comedy,E. Niwas,475,Flop,1.44,1.57257,Vishal - Shekhar
402,Dhamaal,comedy,Indra Kumar,800,Semi Hit,2.28,6.08796,Adnan Sami
403,Grand Masti,comedy,Indra Kumar,2100,Super Hit,4.08,15.66132,Sanjeev - Darshan
404,Great Grand Masti,comedy,Indra Kumar,1700,Disaster,4.68,2.42715,Sanjeev - Darshan
405,Bangistan,comedy,Karan Anshuman,700,Disaster,3.48,0.9963,Ram Sampath
406,Tere Naal Love Ho Gaya,rom__com,Mandeep Kumar,1200,Below Average,1.68,3.67515,Sachin - Jigar
407,Malamaal Weekly,comedy,Priyadarshan,300,Super Hit,0.84,5.13216,Uttankk V. Vorra
408,Apna Sapna Money Money,comedy,Sangeeth Sivan,450,Semi Hit,1.14,2.4879,Pritam
409,Aladin,fantasy,Sujoy Ghosh,600,Disaster,5.04,1.3074,Vishal - Shekhar
410,Kal Kissne Dekha,comedy,Vivek Sharma,475,Disaster,2.52,0.99024,Sajid - Wajid
411,Udaan,drama,Vikramaditya Motwane,225,Flop,0.54,0.51366,Amit Trivedi
412,Race,thriller,Abbas - Mustan,1300,Hit,5.52,12.414,Pritam
413,Race 2,thriller,Abbas - Mustan,3200,Semi Hit,11.28,19.3845,Pritam
414,Being Cyrus,drama,Homi Adajania,80,Flop,0.48,0.77055,Salim - Sulaiman
415,Cocktail,rom__com,Homi Adajania,1600,Hit,6.36,15.02817,Pritam
416,Love Aaj Kal,rom__com,Imtiaz Ali,1350,Hit,6.72,14.3421,Pritam
417,Phantom,action,Kabir Khan,2600,Flop,8.64,10.1328,Pritam
418,Thoda Pyaar Thoda Magic,drama,Kunal Kohli,750,Flop,2.76,4.47036,Shankar - Ehsaan - Loy
419,Sanam Teri Kasam,love_story,Lawrence D'Souza,10,Flop,0.3,0.0087,Nadeem - Shravan
420,Parineeta,drama,Pradeep Sarkar,325,Below Average,2.04,3.9159,Shantanu Moitra
421,Aarakshan,drama,Prakash Jha,1500,Flop,6.36,7.74351,Shankar - Ehsaan - Loy
422,Go Goa Gone,comedy,Raj Nidimoru,1100,Flop,2.28,4.611,Sachin - Jigar
423,Happy Ending,rom__com,Raj Nidimoru,1650,Disaster,6.84,4.56066,Sachin - Jigar
424,Chef,drama,Raja Krishna Menon,1550,Disaster,3.72,1.26594,Raghu Dixit
425,Kurbaan,thriller,Renzil D'Silva,1250,Flop,6,5.15838,Salim - Sulaiman
426,Humshakals,comedy,Sajid Khan,2800,Flop,7.68,10.4424,Himesh Reshammiya
427,Salaam Namaste,rom__com,Siddharth Anand,325,Hit,1.32,6.8676,Vishal - Shekhar
428,Ta Ra Rum Pum,drama,Siddharth Anand,725,Semi Hit,3.6,8.2974,Vishal - Shekhar
429,Agent Vinod,thriller,Sriram Raghavan,2200,Flop,7.2,8.7606,Pritam
430,Bullet Raja,action,Tigmanshu Dhulia,2150,Flop,6.24,6.4659,Sajid - Wajid
431,Dabangg,action,Abhinav Kashyap,1900,Blockbuster,4.92,26.3124,Sajid - Wajid
432,Sultan,masala,Ali Abbas Zafar,4350,Blockbuster,17.4,69.2745,Vishal - Shekhar
433,Tiger Zinda Hai,action,Ali Abbas Zafar,4600,Blockbuster,25.2,67.81224,Vishal - Shekhar
434,Ready,comedy,Anees Bazmee,2300,Blockbuster,7.32,22.00785,Pritam
435,Veer,action,Anil Sharma,1600,Below Average,7.56,7.3368,Sajid - Wajid
436,Dabangg 2,action,Arbaaz Khan,3400,Blockbuster,10.08,29.9082,Sajid - Wajid
437,Maine Pyaar Kyun Kiya?,comedy,David Dhawan,450,Semi Hit,1.8,5.6667,Himesh Reshammiya
438,Partner,comedy,David Dhawan,1100,Super Hit,3.36,12.10938,Sajid - Wajid
439,Shaadi Karke Phas Gaya Yaar,rom__com,K.S. Adhiyaman,200,Disaster,1.32,0.603,Sajid - Wajid
440,Ek Tha Tiger,action,Kabir Khan,3200,Blockbuster,11.04,36.9978,Sajid - Wajid
441,Bajrangi Bhaijaan,masala,Kabir Khan,4100,All Time Blockbuster,15,72.47928,Pritam
442,Tubelight,drama,Kabir Khan,4400,Below Average,16.2,24.9588,Pritam
443,Salaam-E-Ishq,love_story,Nikhil Advani,900,Disaster,5.16,6.2688,Shankar - Ehsaan - Loy
444,Wanted,action,Prabhu Deva,1400,Hit,6.24,11.1876,Sajid - Wajid
445,Main Aurr Mrs. Khanna,rom__com,Prem Soni,750,Disaster,4.56,1.75365,Sajid - Wajid
446,Kyon Ki,love_story,Priyadarshan,475,Flop,2.52,2.77848,Himesh Reshammiya
447,Baabul,drama,Ravi Chopra,675,Flop,3.12,4.74894,Aadesh Shrivastava
448,God Tussi Great Ho,comedy,Rumi Jaffery,775,Flop,2.52,2.47335,Sajid - Wajid
449,Saawan... The Love Season,love_story,Saawan Kumar Tak,275,Flop,0.6,0.710025,Aadesh Shrivastava
450,Kick,action,Sajid Nadiadwala,3800,Blockbuster,16.8,42.216,Honey Singh
451,Bodyguard,action,Siddique,2750,Blockbuster,8.4,28.1268,Himesh Reshammiya
452,Jai Ho,action,Sohail Khan,3700,Semi Hit,12.24,22.34544,Sajid - Wajid
453,Prem Ratan Dhan Payo,drama,Sooraj Barjatya,4200,Hit,21.6,43.8549,Himesh Reshammiya
454,Yuvvraaj,drama,Subhash Ghai,1100,Disaster,5.76,3.7464,A.R. Rehman
455,Lucky - No Time for Love,love_story,Vinay Sapru,400,Below Average,1.68,3.3378,Adnan Sami
456,London Dreams,drama,Vipul Amrutlal Shah,1450,Flop,7.56,4.95816,Shankar - Ehsaan - Loy
457,Marigold,rom__com,Willard Carroll,160,Disaster,2.28,0.2754,Shankar - Ehsaan - Loy
458,Game,thriller,Abhinay Deo,1100,Disaster,4.08,1.54551,Shankar - Ehsaan - Loy
459,Mehbooba,love_story,Afzal Khan,425,Disaster,2.64,0.4542,Ismail Darbar
460,Nehlle Pe Dehlla,comedy,Ajay Chandhok,300,Disaster,0.84,0.7692,Anand Raj Anand
461,Zilla Ghaziabad,action,Anand Kumar,1700,Flop,4.32,2.67144,Amjad - Nadeem
462,Dus,action,Anubhav Sinha,525,Average,2.64,4.66044,Vishal - Shekhar
463,Tathastu,drama,Anubhav Sinha,250,Disaster,1.32,0.39159,Vishal - Shekhar
464,Double Dhamaal,comedy,Indra Kumar,1800,Average,3.48,8.4654,Anand Raj Anand
465,Shabd,drama,Leena Yadav,250,Disaster,1.14,1.28415,Vishal - Shekhar
466,Knock Out,thriller,Mani Shankar,800,Disaster,3.6,1.0731,Gourov Dasgupta
467,Bhoomi,drama,Omung Kumar,2000,Disaster,3.72,1.8453,Sachin - Jigar
468,Lage Raho Munnabhai,drama,Rajkumar Hirani,600,Blockbuster,2.28,15.144,Shantanu Moitra
469,Department,action,Ram Gopal Verma,1500,Disaster,3.84,2.2866,Vikram Negi
470,Zinda,thriller,Sanjay Gupta,400,Flop,1.56,2.12163,Kinky Ronald
471,EMI,comedy,Saurabh Kadra,550,Disaster,2.04,0.9789,Chirantan Bhatt
472,Luck,thriller,Soham Shah,1150,Flop,4.44,4.0296,Salim - Sulaiman
473,Mere Dad Ki Maruti,comedy,Ashima Chibber,825,Below Average,1.32,1.7928,Sachin Gupta
474,Filmistaan,comedy,Nitin Kakkar,450,Flop,0.9,1.19928,Arijit Datta
475,Dil Bole Hadippa,rom__com,Anurag Singh,950,Flop,3.36,5.5344,Pritam
476,Kismat Konnection,rom__com,Aziz Mirza,850,Flop,3.24,4.63017,Sajid - Wajid
477,Jab We Met,rom__com,Imtiaz Ali,475,Hit,1.8,6.11256,Pritam
478,Chance Pe Dance,rom__com,Ken Ghosh,800,Flop,3.48,1.95633,Adnan Sami
479,Teri Meri Kahaani,love_story,Kunal Kohli,1450,Flop,4.92,6.5376,Sajid - Wajid
480,Vaah! Life Ho Toh Aisi!,comedy,Mahesh Manjrekar,325,Flop,1.56,1.100685,Ajay - Atul
481,Paathshaala,drama,Milind Ukey,500,Flop,1.68,2.06361,Hanif Sheikh
482,Mausam,love_story,Pankaj Kapoor,1750,Flop,5.88,6.44118,Pritam
483,Badmaash Company,drama,Parmeet Sethi,1100,Average,3.48,5.8152,Pritam
484,R... Rajkumar,action,Prabhu Deva,2350,Average,6.96,11.94882,Pritam
485,Chup Chup Ke,comedy,Priyadarshan,350,Average,1.44,3.0696,Himesh Reshammiya
486,Phata Poster Nikhla Hero,comedy,Rajkumar Santoshi,1900,Flop,5.64,7.59672,Pritam
487,Milenge Milenge,love_story,Satish Kaushik,775,Flop,1.44,1.5147,Himesh Reshammiya
488,Vivah,drama,Sooraj Barjatya,200,Blockbuster,0.96,5.9472,Ravindra Jain
489,Shaandaar,rom__com,Vikas Bahl,2500,Flop,8.28,9.084,Amit Trivedi
490,Kaminey,drama,Vishal Bhardwaj,1250,Average,4.8,8.5878,Vishal Bhardwaj
491,Haider,drama,Vishal Bhardwaj,1250,Average,5.76,9.50001,Vishal Bhardwaj
492,Rangoon,drama,Vishal Bhardwaj,2100,Disaster,7.32,4.86015,Vishal Bhardwaj
493,Rab Ne Bana Di Jodi,love_story,Aditya Chopra,1350,Blockbuster,4.68,18.8901,Salim - Sulaiman
494,Paheli,drama,Amol Palekar,350,Below Average,1.68,3.89442,M.M. Kreem
495,Ra.One,action,Anubhav Sinha,2900,Hit,15.6,24.88635,Vishal - Shekhar
496,Om Shanti Om,masala,Farah Khan,1200,Blockbuster,4.8,17.9847,Vishal - Shekhar
497,Happy New Year,masala,Farah Khan,3850,Super Hit,18,41.13132,Vishal - Shekhar
